"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.213136844,      -5.211846684,      -5.956515569,      -5.148369216,      -4.605970843
          0,           0,           1,        -4.7175317,      -4.548583322,      -4.745571402,       -4.63805478,      -4.105651908
          0,           0,           2,      -4.684287446,      -4.578191665,      -4.563609037,      -4.481116728,       -4.08025693
          0,           0,           3,      -4.634711838,      -4.554247293,      -4.476792939,       -4.35685813,      -4.030044653
          0,           0,           4,      -4.661746004,      -4.581901987,      -4.468542101,      -4.301524489,      -4.052062363
          0,           0,           5,      -4.721259171,      -4.690038424,      -4.519146161,       -4.31220897,      -4.123843147
          0,           0,           6,      -4.720789232,      -4.742332888,       -4.54669647,      -4.344557926,       -4.12121513
          0,           0,           7,      -4.728024457,      -4.725211628,      -4.577529307,      -4.382346283,      -4.114938577
          0,           0,           8,      -4.800276124,      -4.781223241,      -4.634283393,      -4.428033223,      -4.181467152
          0,           0,           9,       -4.89548497,      -4.897425897,      -4.720272416,      -4.488458583,      -4.278204069
          0,           0,          10,       -4.95729327,      -4.991559548,       -4.82366413,      -4.567530188,      -4.342420893
          0,           0,          11,      -5.019271789,      -5.055342578,       -4.93583543,      -4.659141001,      -4.404158587
          0,           0,          12,      -5.101822391,      -5.119631796,      -5.051770295,      -4.759195173,       -4.48458083
          0,           0,          13,      -5.190956744,      -5.189531546,      -5.168551897,      -4.868511374,      -4.570876024
          0,           0,          14,      -5.274205202,      -5.263687763,      -5.280367422,       -4.98662975,      -4.652370506
          0,           0,          15,      -5.357905184,      -5.348106861,      -5.385705625,      -5.112199561,      -4.734901526
          0,           0,          16,      -5.451989874,      -5.448502923,      -5.490568838,      -5.242747838,      -4.827757651
          0,           0,          17,      -5.556259697,      -5.561797501,      -5.600347444,      -5.376518955,      -4.930698965
          0,           0,          18,      -5.665466238,      -5.679463547,      -5.715229335,      -5.511313602,       -5.03879522
          0,           0,          19,      -5.778055932,       -5.79551947,      -5.833524837,      -5.643058144,      -5.150671276
          0,           0,          20,      -5.896303998,      -5.908549908,       -5.95608999,      -5.768014183,      -5.268575992
          0,           0,          21,      -6.019146856,      -6.016205729,      -6.085398673,      -5.886770908,      -5.391696473
          0,           0,          22,      -6.138060793,      -6.113122614,      -6.221342627,       -6.00413741,      -5.512108665
          0,           0,          23,      -6.242736893,      -6.197370596,      -6.358142275,      -6.124313881,       -5.61961103
          0,           0,          24,      -6.332591565,       -6.27515449,      -6.486109955,      -6.246955868,      -5.712507875
          0,           0,          25,      -6.417405826,      -6.355590989,      -6.599213137,      -6.366809119,      -5.799451053
          0,           0,          26,      -6.506557661,      -6.443961138,      -6.700724696,      -6.476876298,      -5.890115304
          0,           0,          27,      -6.599635194,      -6.536525459,      -6.795161508,          -6.57012,      -5.988621069
          0,           0,          28,      -6.696397569,      -6.634584855,      -6.889794874,      -6.659203005,      -6.086319399
          0,           0,          29,      -6.795745173,       -6.73284834,      -6.982240639,      -6.746024807,      -6.182917869
          0,           0,          30,      -6.888872956,      -6.826288294,      -7.063848674,      -6.829816787,      -6.273357145
          0,           0,          31,        -6.9729175,      -6.913237239,      -7.137740284,      -6.906354268,      -6.363760489
          0,           0,          32,      -7.043108321,      -6.991296691,      -7.194183591,      -6.980581877,      -6.434836709
          0,           0,          33,      -7.113384276,      -7.064726773,      -7.237629721,      -7.046014149,      -6.501103773
          0,           0,          34,      -7.186327151,       -7.14030572,      -7.276519624,      -7.100403787,       -6.57066176
          0,           0,          35,      -7.266046245,      -7.224128684,      -7.329520356,      -7.151616102,      -6.656950216
          0,           0,          36,      -7.339299236,      -7.305373049,      -7.376930087,      -7.203362218,      -6.731457837
          0,           0,          37,      -7.417711314,      -7.386821121,       -7.42915422,      -7.255776176,      -6.804924717
          0,           0,          38,      -7.496831329,      -7.470745464,      -7.488875241,      -7.311872357,       -6.87958312
          0,           0,          39,      -7.574066389,      -7.556910672,      -7.554719956,      -7.365363413,      -6.966568622
          0,           0,          40,      -7.629397614,      -7.635038166,      -7.620083059,      -7.426637623,      -7.024879041
          0,           0,          41,      -7.684948662,      -7.705974577,       -7.68889099,      -7.491458524,      -7.073635848
          0,           0,          42,      -7.741928521,      -7.776489854,      -7.760090611,      -7.557215565,      -7.124914934
          0,           0,          43,      -7.806468057,      -7.853846085,      -7.833684488,      -7.615063216,      -7.198987297
          0,           0,          44,       -7.85502564,      -7.920789207,      -7.899397759,       -7.67729489,      -7.248907804
          0,           0,          45,       -7.91881862,      -7.985871756,      -7.960459305,      -7.737112207,       -7.30503478
          0,           0,          46,      -7.994426834,      -8.054375228,      -8.018481245,      -7.792523335,      -7.374055161
          0,           0,          47,      -8.072074396,      -8.128769669,      -8.078541701,      -7.843546129,      -7.460928458
          0,           0,          48,      -8.134861592,      -8.192301657,      -8.132064304,      -7.897079573,      -7.528015105
          0,           0,          49,      -8.203820192,      -8.245137948,      -8.179896956,      -7.947582777,      -7.591715152
          0,           0,          50,      -8.268771188,      -8.292938107,      -8.224032315,      -7.994375394,      -7.652375592
          0,           0,          51,      -8.325188818,      -8.351355939,       -8.27502187,      -8.040848938,      -7.721402466
          0,           0,          52,      -8.368720751,      -8.399908286,      -8.317305743,      -8.089019051,      -7.768051615
          0,           0,          53,      -8.417298847,       -8.43907125,       -8.35266864,       -8.13176461,      -7.809426928
