"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.595152359,      -9.349703852,      -9.359952454,       3.885956535,      -5.543086022
          0,           0,           1,      -1.805153134,      0.1847228842,      0.6946648598,       3.681757559,      -5.857902922
          0,           0,           2,      -2.342185499,    -0.08345801787,      0.1887891082,       3.138413081,      -6.401675209
          0,           0,           3,      -2.433151948,      0.0352179435,      0.2238772506,       3.046162528,      -6.573753783
          0,           0,           4,      -2.458314454,      0.1575512933,       0.267271101,       3.017882425,      -6.742906528
          0,           0,           5,      -2.478259996,      0.2343795817,      0.2849317693,       2.994326312,      -6.833905203
          0,           0,           6,      -2.474901386,      0.2692104049,      0.2775316685,       2.997016633,      -6.896167409
          0,           0,           7,      -2.444882157,      0.2697901268,      0.2503383568,       3.029638255,      -6.934877456
          0,           0,           8,      -2.405676928,      0.2446280206,      0.2100612443,       3.071673515,      -6.975527333
          0,           0,           9,      -2.372473764,      0.2066688879,      0.1692533299,       3.106335057,      -6.990148018
          0,           0,          10,       -2.34987495,      0.1762136406,      0.1457350572,       3.129077096,      -6.996734571
          0,           0,          11,      -2.335560957,      0.1716881282,      0.1487998017,       3.142790093,      -6.998274289
          0,           0,          12,      -2.325114227,      0.1921263234,      0.1696214924,         3.1524719,      -6.995164612
          0,           0,          13,      -2.315742631,      0.2215115693,      0.1936810117,       3.161301075,      -6.990094735
          0,           0,          14,      -2.307242017,      0.2472173311,      0.2135684434,       3.169581492,      -6.988165023
          0,           0,          15,      -2.300175315,      0.2653223029,      0.2290689711,       3.176697385,      -6.988236968
          0,           0,          16,      -2.294872345,       0.277016327,      0.2425294275,       3.182208194,      -6.987476742
          0,           0,          17,       -2.28976468,      0.2842102643,      0.2554537701,       3.187648695,      -6.984535513
          0,           0,          18,      -2.282305542,      0.2886771245,      0.2671252799,        3.19539819,      -6.979124679
          0,           0,          19,      -2.271168316,      0.2921420036,      0.2770874797,       3.206847759,      -6.971376899
          0,           0,          20,      -2.256490617,      0.2970211522,      0.2845552175,       3.221799867,      -6.962232724
          0,           0,          21,      -2.240093891,      0.3045054484,      0.2899189453,       3.238395769,      -6.953125053
          0,           0,          22,      -2.224656295,      0.3149727263,       0.295165555,       3.253887259,      -6.943759931
          0,           0,          23,      -2.211143455,      0.3300245112,      0.3024310345,       3.267360202,      -6.933954115
          0,           0,          24,      -2.199990296,      0.3479534353,      0.3130265421,       3.278465354,      -6.922905996
          0,           0,          25,      -2.190238753,      0.3678320201,       0.325514174,       3.288251464,      -6.908776494
          0,           0,          26,      -2.181540404,       0.385659608,      0.3390476818,       3.297075883,       -6.89152833
          0,           0,          27,      -2.173122382,      0.3982955263,      0.3508345047,       3.305738343,      -6.872675668
          0,           0,          28,      -2.164874221,      0.4052066579,      0.3576851434,       3.314421768,      -6.853378165
          0,           0,          29,      -2.157950008,      0.4056048188,      0.3603139084,       3.321816323,      -6.834909724
          0,           0,          30,      -2.152956686,      0.4003051402,      0.3589158165,       3.327183167,       -6.81804983
          0,           0,          31,      -2.150507889,      0.3926082351,      0.3551073555,       3.329892262,      -6.802853836
          0,           0,          32,      -2.150942527,      0.3874807935,      0.3519331152,       3.329589723,      -6.789331164
          0,           0,          33,      -2.153403479,      0.3893694646,      0.3526359072,       3.327118989,      -6.776975038
          0,           0,          34,      -2.156800147,      0.3987888692,      0.3589371313,       3.323564029,      -6.765269397
          0,           0,          35,      -2.160027704,      0.4152955777,      0.3691616422,       3.320179278,      -6.754782287
          0,           0,          36,      -2.161708226,      0.4338256104,      0.3810339321,       3.318420838,      -6.745265917
          0,           0,          37,      -2.161991982,       0.449761043,      0.3918406095,       3.318188539,      -6.736988361
          0,           0,          38,      -2.161879964,      0.4595908598,       0.398081949,        3.31856023,      -6.729645387
          0,           0,          39,      -2.163149295,      0.4603920657,      0.3976702531,       3.317633367,      -6.723140153
          0,           0,          40,      -2.167603269,      0.4514911067,       0.390458333,       3.313612287,      -6.717661325
          0,           0,          41,      -2.175798068,      0.4336345773,      0.3762753693,       3.305934116,      -6.712565303
          0,           0,          42,      -2.187224958,      0.4081675485,       0.356889709,       3.294962081,      -6.707628999
          0,           0,          43,      -2.201934575,      0.3807920487,      0.3357864218,       3.280628262,      -6.702741492
          0,           0,          44,       -2.21737173,      0.3568941432,      0.3173137526,       3.265477745,      -6.698037986
          0,           0,          45,      -2.233536672,      0.3417131388,      0.3053904263,       3.249347436,      -6.693170312
          0,           0,          46,       -2.24931012,      0.3384509033,      0.3026844401,       3.233632594,      -6.688425713
          0,           0,          47,      -2.264774417,      0.3436662084,      0.3056709227,       3.218180344,      -6.684085346
          0,           0,          48,      -2.280853256,      0.3512459313,      0.3122463882,       3.202309206,      -6.680658267
          0,           0,          49,      -2.298008442,      0.3572281926,      0.3160701848,       3.185605124,      -6.676351659
          0,           0,          50,       -2.31968404,      0.3584380145,      0.3147063592,       3.164584719,      -6.673969776
          0,           0,          51,      -2.345519643,      0.3523309481,      0.3070423049,       3.139450389,      -6.670582146
          0,           0,          52,        -2.3721226,      0.3382011612,      0.2927875444,       3.113483832,      -6.667365005
          0,           0,          53,      -2.396431678,      0.3182618359,      0.2720223999,       3.089537563,       -6.66354019
          0,           0,          54,      -2.415013354,      0.2949612095,      0.2467537628,       3.070934852,      -6.658321934
          0,           0,          55,      -2.427464732,      0.2701051157,      0.2204700277,       3.058001209,      -6.654241491
          0,           0,          56,      -2.437939435,      0.2454281974,      0.1967736031,        3.04673927,       -6.64935025
          0,           0,          57,      -2.448913649,      0.2238453112,      0.1799396438,       3.035200235,      -6.644129988
          0,           0,          58,      -2.463143402,      0.2061488884,      0.1673034633,       3.020661594,      -6.639237249
          0,           0,          59,       -2.48444065,      0.1890147805,      0.1597858166,       2.999379348,      -6.634235475
          0,           0,          60,      -2.514908098,      0.1743458371,      0.1573522096,       2.969372866,      -6.629270231
          0,           0,          61,      -2.551839183,      0.1599533033,      0.1549768338,       2.933048133,       -6.62368514
          0,           0,          62,       -2.59049893,      0.1488222495,        0.15008889,       2.895180534,      -6.617472474
          0,           0,          63,      -2.623197878,      0.1368679956,      0.1417239369,       2.862848505,      -6.610991972
          0,           0,          64,      -2.643295946,      0.1243801351,      0.1275746863,       2.842347955,      -6.604054724
          0,           0,          65,      -2.648050433,      0.1114107984,      0.1081133024,       2.836849158,      -6.596687674
          0,           0,          66,      -2.643319165,     0.09654215759,     0.08254610332,       2.840399578,      -6.588871655
          0,           0,          67,      -2.635519986,      0.0805368461,      0.0518215278,       2.846883264,      -6.580786127
          0,           0,          68,      -2.630663957,     0.06323470816,      0.0201260481,       2.850284905,      -6.572661518
          0,           0,          69,      -2.631819815,     0.04544574762,      -0.007739792,       2.847614487,       -6.56450495
          0,           0,          70,      -2.640240469,     0.02776298927,    -0.02739031627,       2.837717358,      -6.556069097
          0,           0,          71,      -2.654722415,     0.01025289964,     -0.0388682292,       2.821776006,      -6.547722524
          0,           0,          72,      -2.673949882,   -0.007047482423,    -0.04160300057,       2.801173728,       -6.53978036
          0,           0,          73,      -2.698361685,    -0.02419953587,    -0.04097114027,       2.775614812,      -6.532279708
          0,           0,          74,      -2.725018365,    -0.04263465881,    -0.04418066623,       2.748487967,      -6.525239018
          0,           0,          75,      -2.749854276,    -0.06366136723,    -0.05522138026,       2.724157499,      -6.518514634
          0,           0,          76,      -2.770338531,    -0.08714301226,    -0.07601511564,       2.704979539,      -6.512297117
          0,           0,          77,      -2.785310409,     -0.1113018862,     -0.1077452476,        2.69149343,      -6.506637363
          0,           0,          78,      -2.795095539,     -0.1357831836,      -0.149315483,       2.682920485,       -6.50163404
          0,           0,          79,       -2.80265062,      -0.154545198,     -0.1946865646,       2.675691444,      -6.497123309
          0,           0,          80,      -2.813684648,     -0.1669437353,     -0.2386506264,        2.66375099,      -6.493117654
          0,           0,          81,       -2.82980168,     -0.1741955705,     -0.2742074372,        2.64604141,       -6.48963203
          0,           0,          82,      -2.851994196,     -0.1805275691,     -0.2903772562,        2.62176932,      -6.486499385
