"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -1.595510018,      -9.349258414,      -9.379619567,       3.885598876,      -5.543086446
          0,           0,           1,      -1.805595093,      0.1845938078,      0.6942256726,       3.681324788,      -5.857906202
          0,           0,           2,      -2.342517694,    -0.08354142804,      0.1884459478,       3.138082221,      -6.401689388
          0,           0,           3,       -2.43354102,     0.03509010478,      0.2235658852,       3.045771137,      -6.573769603
          0,           0,           4,      -2.458761309,      0.1573898131,      0.2669477706,       3.017426763,       -6.74293317
          0,           0,           5,      -2.478726748,      0.2341827779,      0.2845871583,       2.993843112,      -6.833939516
          0,           0,           6,      -2.475313749,      0.2689703266,      0.2771611662,       2.996588334,      -6.896212583
          0,           0,           7,      -2.445213315,      0.2694930691,      0.2499371381,       3.029297538,      -6.934939338
          0,           0,           8,      -2.405958928,      0.2442593333,       0.209625878,       3.071386202,      -6.975625234
          0,           0,           9,      -2.372750856,      0.2062263051,      0.1687987415,       3.106054237,      -6.990290108
          0,           0,          10,      -2.350181115,      0.1757380231,      0.1453037799,        3.12876698,      -6.996933218
          0,           0,          11,       -2.33590551,      0.1712571788,      0.1484337092,       3.142440479,      -6.998534835
          0,           0,          12,      -2.325496197,      0.1917807619,      0.1693233439,       3.152083198,       -6.99548142
          0,           0,          13,      -2.316141847,      0.2212370943,      0.1934263337,       3.160893858,      -6.990456845
          0,           0,          14,      -2.307639255,      0.2469761314,      0.2133280585,       3.169175716,      -6.988560893
          0,           0,          15,      -2.300553637,      0.2650840981,      0.2288211322,       3.176310892,      -6.988662006
          0,           0,          16,      -2.295220813,      0.2767567555,      0.2422607731,        3.18185248,      -6.987914692
          0,           0,          17,      -2.290076846,      0.2839197664,      0.2551611225,       3.187330116,      -6.984980934
          0,           0,          18,      -2.282576918,      0.2883536986,      0.2668109592,       3.195122152,      -6.979569836
          0,           0,          19,      -2.271408553,      0.2917930488,      0.2767560417,       3.206604169,      -6.971824783
          0,           0,          20,      -2.256708757,      0.2966585992,      0.2842169038,       3.221579417,      -6.962679934
          0,           0,          21,      -2.240301398,      0.3041422174,      0.2895876455,       3.238186595,      -6.953576945
          0,           0,          22,      -2.224866733,      0.3146318406,      0.2948537796,       3.253675621,      -6.944223688
          0,           0,          23,      -2.211359708,      0.3297199981,      0.3021533419,       3.267143243,      -6.934430748
          0,           0,          24,       -2.20021387,      0.3476897177,      0.3127894338,       3.278241189,      -6.923387351
          0,           0,          25,      -2.190467869,      0.3676046855,      0.3253164598,       3.288021778,      -6.909266011
          0,           0,          26,       -2.18176597,      0.3854564573,      0.3388767692,       3.296849977,      -6.892009239
          0,           0,          27,      -2.173337847,      0.3981024844,      0.3506688347,       3.305522968,      -6.873135229
          0,           0,          28,      -2.165071996,      0.4050056732,      0.3575138119,       3.314224271,      -6.853824764
          0,           0,          29,      -2.158126892,       0.405382489,      0.3601198753,       3.321640029,      -6.835339055
          0,           0,          30,      -2.153115672,      0.4000536501,      0.3586919453,       3.327025001,      -6.818466344
          0,           0,          31,      -2.150652447,      0.3923285207,      0.3548589913,       3.329748853,      -6.803265992
          0,           0,          32,      -2.151077556,      0.3871790267,      0.3516723132,        3.32945586,      -6.789741237
          0,           0,          33,       -2.15353639,       0.389069605,      0.3523824615,        3.32698738,      -6.777388696
          0,           0,          34,      -2.156938148,      0.3985162265,      0.3587114569,       3.323427486,      -6.765673816
          0,           0,          35,      -2.160171521,      0.4150621837,      0.3689761597,       3.320037076,      -6.755182503
          0,           0,          36,      -2.161856579,      0.4336339572,      0.3808882547,       3.318274497,      -6.745665768
          0,           0,          37,      -2.162145486,      0.4496039205,      0.3917177159,       3.318037029,      -6.737392281
          0,           0,          38,      -2.162029709,      0.4594526753,      0.3979722044,       3.318412596,      -6.730034581
          0,           0,          39,      -2.163295903,      0.4602610707,      0.3975545303,        3.31748912,      -6.723524163
          0,           0,          40,      -2.167740607,      0.4513517172,      0.3903252572,       3.313477488,      -6.718058848
          0,           0,          41,      -2.175926402,      0.4334794724,      0.3761127814,       3.305808457,      -6.712958185
          0,           0,          42,      -2.187348418,      0.4079803972,      0.3566930999,       3.294841081,      -6.708033052
          0,           0,          43,      -2.202055806,      0.3805710384,      0.3355611261,       3.280508981,      -6.703157502
          0,           0,          44,      -2.217501993,      0.3566567077,      0.3170792677,       3.265349885,      -6.698463378
          0,           0,          45,       -2.23367193,      0.3414700023,      0.3051710142,       3.249214354,      -6.693594624
          0,           0,          46,      -2.249467955,      0.3382360895,      0.3024998511,       3.233477988,      -6.688862763
          0,           0,          47,      -2.264947726,       0.343478302,      0.3055261837,       3.218011605,      -6.684516924
          0,           0,          48,      -2.281043991,      0.3510933071,      0.3121326865,        3.20212363,       -6.68111202
          0,           0,          49,      -2.298212867,      0.3570929432,      0.3159660606,       3.185407988,      -6.676801395
          0,           0,          50,      -2.319891839,      0.3583063286,       0.314605291,       3.164385354,      -6.674428389
          0,           0,          51,      -2.345739939,      0.3521900591,      0.3069175513,        3.13923835,      -6.671058628
          0,           0,          52,      -2.372347474,       0.338045761,      0.2926200722,       3.113266901,      -6.667826452
          0,           0,          53,      -2.396650517,      0.3180734729,      0.2718246526,       3.089325532,      -6.664011536
          0,           0,          54,      -2.415239458,      0.2947364121,      0.2465165816,       3.070713602,      -6.658794418
          0,           0,          55,      -2.427692972,      0.2698381735,      0.2202034329,       3.057777192,      -6.654715749
          0,           0,          56,      -2.438185017,      0.2451304967,      0.1964963932,       3.046497237,      -6.649837091
          0,           0,          57,      -2.449181341,      0.2235180937,      0.1796716373,       3.034937184,      -6.644674798
          0,           0,          58,      -2.463425972,      0.2058215411,      0.1670602641,        3.02038462,      -6.639784262
          0,           0,          59,       -2.48474197,      0.1886876175,      0.1595767603,       2.999086145,      -6.634771959
          0,           0,          60,      -2.515249283,      0.1740314401,      0.1571697742,       2.969041856,      -6.629830514
          0,           0,          61,      -2.552180674,      0.1596841275,      0.1548019951,       2.932717837,      -6.624278185
          0,           0,          62,      -2.590890643,      0.1485638274,      0.1499176972,       2.894799223,      -6.618082253
          0,           0,          63,      -2.623597238,      0.1366413555,      0.1415361389,       2.862458296,      -6.611590726
          0,           0,          64,      -2.643686671,      0.1241656845,      0.1273641771,       2.841960881,      -6.604657288
          0,           0,          65,      -2.648408738,      0.1111871666,       0.107872532,        2.83648644,      -6.597309662
          0,           0,          66,       -2.64364208,     0.09629406594,     0.08226815765,       2.840069123,      -6.589513283
          0,           0,          67,      -2.635814739,     0.08026904645,     0.05150753317,       2.846582876,      -6.581403583
          0,           0,          68,      -2.630932259,     0.06292667436,     0.01980214318,       2.850011454,      -6.573269693
          0,           0,          69,        -2.6320965,     0.04513368596,    -0.00806297217,       2.847336701,      -6.565076162
          0,           0,          70,      -2.640494045,     0.02744502192,    -0.02768044427,       2.837463779,       -6.55662676
          0,           0,          71,      -2.654965036,    0.009920010284,    -0.03912181387,       2.821536021,      -6.548277271
          0,           0,          72,      -2.674100713,   -0.007415058361,    -0.04180083201,       2.801018257,      -6.540358195
          0,           0,          73,      -2.698632898,    -0.02455971741,    -0.04116678355,       2.775333986,      -6.532873483
          0,           0,          74,      -2.725397054,    -0.04294044312,    -0.04436220715,       2.748099299,      -6.525828713
          0,           0,          75,      -2.750213543,    -0.06393350902,    -0.05542251107,        2.72379395,      -6.519110575
          0,           0,          76,      -2.770674139,    -0.08739240768,    -0.07622755137,        2.70463731,      -6.512892244
          0,           0,          77,      -2.785634466,     -0.1115664988,     -0.1080123024,        2.69116198,       -6.50723122
          0,           0,          78,      -2.795330836,     -0.1361398829,     -0.1496284616,       2.682681527,      -6.502221852
          0,           0,          79,      -2.802994693,     -0.1549761192,     -0.1950601594,       2.675336528,      -6.497717505
          0,           0,          80,      -2.813919536,     -0.1673695101,     -0.2390690999,       2.663504215,      -6.493714526
          0,           0,          81,      -2.830018469,     -0.1745919447,     -0.2746509535,       2.645819323,      -6.490168477
          0,           0,          82,      -2.852105704,     -0.1809402903,     -0.2907131153,        2.62165468,      -6.487030297
          0,           0,          83,       -2.88109768,     -0.1896835686,     -0.2940378532,       2.590252413,      -6.484334231
          0,           0,          84,      -2.916269679,     -0.2028854305,     -0.2953551836,       2.553126529,      -6.481986202
          0,           0,          85,      -2.955674384,     -0.2253461536,     -0.3020458964,       2.512795822,      -6.479988015
          0,           0,          86,      -2.993870241,      -0.254253829,      -0.317681619,       2.475816511,      -6.478293944
          0,           0,          87,      -3.023932387,     -0.2920361543,     -0.3454350886,       2.448596666,      -6.476821458
          0,           0,          88,      -3.044126172,     -0.3300615676,     -0.3852653098,       2.432238383,      -6.475479064
          0,           0,          89,       -3.05877978,     -0.3693612814,     -0.4353926957,       2.420389035,      -6.474141885
