"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.102862696,      -5.100614249,      -5.945450695,      -5.037149772,      -4.495696695
          0,           0,           1,      -4.509073974,      -4.348521421,      -4.520835006,      -4.423758523,      -3.895025949
          0,           0,           2,      -4.491695688,      -4.385051211,      -4.311617182,       -4.23417236,      -3.885212736
          0,           0,           3,       -4.46479857,      -4.393361198,      -4.228078387,       -4.10177815,      -3.858042423
          0,           0,           4,       -4.50050646,      -4.419860786,      -4.222101596,      -4.041600732,      -3.890068709
          0,           0,           5,      -4.553612465,      -4.502648777,      -4.268793611,      -4.048999993,      -3.951133149
          0,           0,           6,      -4.595168755,      -4.581742883,      -4.300951798,      -4.082089589,      -3.990975512
          0,           0,           7,       -4.61192212,      -4.605570991,      -4.343058324,      -4.126392212,      -3.998091458
          0,           0,           8,      -4.645637913,      -4.633233586,      -4.406340149,      -4.180946595,      -4.028285434
          0,           0,           9,      -4.715950735,      -4.696929696,      -4.493530712,       -4.24824387,      -4.097445058
          0,           0,          10,      -4.800120037,      -4.779058916,      -4.599216297,       -4.32908695,      -4.181009002
          0,           0,          11,       -4.88173426,      -4.864751755,      -4.715388921,      -4.422554185,      -4.261367647
          0,           0,          12,      -4.957122577,      -4.950632711,      -4.835318047,      -4.526179255,      -4.335055556
          0,           0,          13,      -5.028522409,      -5.035053116,      -4.953941678,      -4.639102972,      -4.404619617
          0,           0,          14,      -5.106182071,      -5.121771595,      -5.068825305,      -4.759742161,      -4.480028601
          0,           0,          15,      -5.198613163,       -5.21555308,      -5.181007056,      -4.885948633,      -4.569500327
          0,           0,          16,      -5.305539062,      -5.315814727,      -5.293756134,      -5.015428789,      -4.673012521
          0,           0,          17,      -5.420142076,      -5.417415479,      -5.409894449,      -5.146592189,      -4.784567928
          0,           0,          18,      -5.536957798,      -5.517957871,      -5.530945571,      -5.278167817,      -4.899397815
          0,           0,          19,      -5.656529932,      -5.620230799,      -5.657273308,      -5.408747928,      -5.017949349
          0,           0,          20,      -5.781250825,      -5.726819746,      -5.788836459,      -5.537127628,      -5.142287536
          0,           0,          21,      -5.908920126,      -5.835356822,      -5.924674631,      -5.663098238,      -5.270624201
          0,           0,          22,      -6.031370971,      -5.939746654,      -6.062276603,      -5.787225039,       -5.39595439
          0,           0,          23,      -6.139836029,      -6.035390708,      -6.197224647,      -5.909985095,       -5.51000151
          0,           0,          24,      -6.233406183,      -6.123334335,      -6.324609802,      -6.031054237,      -5.610294776
          0,           0,          25,      -6.320275522,      -6.209047095,       -6.44250218,      -6.149282676,      -5.702723255
          0,           0,          26,      -6.410031976,      -6.298086624,      -6.553511378,      -6.263346489,      -5.795832581
          0,           0,          27,      -6.507980035,      -6.393410655,      -6.661944747,      -6.372599143,      -5.895055019
          0,           0,          28,      -6.614735663,      -6.495071669,       -6.76997946,       -6.47734609,      -6.001496808
          0,           0,          29,      -6.727703892,      -6.600974895,      -6.876303942,       -6.57843818,      -6.113087936
          0,           0,          30,       -6.84259817,      -6.707883897,      -6.977410328,       -6.67673717,      -6.226100125
          0,           0,          31,      -6.954881217,      -6.812470983,      -7.070306396,      -6.772934105,       -6.33657201
          0,           0,          32,      -7.061295562,      -6.912306593,       -7.15470252,      -6.867472151,      -6.441659878
          0,           0,          33,      -7.161122427,       -7.00663206,      -7.232996028,      -6.960336981,        -6.5406801
          0,           0,          34,      -7.256320496,      -7.096606929,      -7.308439101,      -7.050971632,      -6.635274243
          0,           0,          35,       -7.35021503,      -7.184717619,      -7.383213113,      -7.138450455,      -6.728392339
          0,           0,          36,      -7.445617346,       -7.27365513,      -7.457940041,      -7.221807385,       -6.82275258
          0,           0,          37,      -7.544323038,      -7.365745677,      -7.534070891,      -7.300800792,      -6.921093733
          0,           0,          38,      -7.639252208,      -7.458236438,      -7.608187792,       -7.37631407,      -7.015238379
          0,           0,          39,      -7.732364855,      -7.549343795,      -7.682174136,      -7.444298005,       -7.11175694
          0,           0,          40,       -7.80991527,      -7.637344423,      -7.753274143,      -7.513361613,      -7.190621162
          0,           0,          41,      -7.877921172,      -7.721231996,      -7.822742023,      -7.579694882,      -7.257185932
