"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.152815981,      -5.151581938,      -5.879902941,      -5.088524756,       -4.54564998
          0,           0,           1,      -4.597520993,      -4.437694733,      -4.612193583,      -4.496454294,      -3.985207579
          0,           0,           2,       -4.56294141,        -4.4717219,      -4.402879457,      -4.317993639,      -3.958522596
          0,           0,           3,       -4.51494486,      -4.453898701,      -4.307651178,      -4.185172939,      -3.908851233
          0,           0,           4,      -4.553756164,      -4.483012633,      -4.298469889,      -4.122610371,         -3.943576
          0,           0,           5,      -4.618509845,      -4.580987006,      -4.346932811,       -4.13058245,      -4.018448141
          0,           0,           6,       -4.63621466,      -4.642104405,      -4.377213432,      -4.163609102,      -4.034269977
          0,           0,           7,      -4.649061716,      -4.647497871,      -4.413223456,      -4.203965696,      -4.035627581
          0,           0,           8,      -4.701559679,      -4.688731976,      -4.470744385,      -4.252420638,       -4.08316075
          0,           0,           9,       -4.77756886,      -4.767499065,       -4.55456883,      -4.315035606,      -4.158424353
          0,           0,          10,      -4.847730164,      -4.847895564,       -4.65840192,      -4.393053423,      -4.229578798
          0,           0,          11,      -4.915047831,      -4.918570507,      -4.772934301,      -4.484264043,       -4.29636071
          0,           0,          12,        -4.9908651,      -4.991608829,      -4.892106054,       -4.58533898,      -4.370029443
          0,           0,          13,      -5.070870598,      -5.070278032,      -5.011204471,      -4.695605712,       -4.44733944
          0,           0,          14,      -5.150937645,      -5.153394814,      -5.126002136,      -4.814432125,      -4.524962085
          0,           0,          15,      -5.235262963,      -5.242888976,      -5.235490292,      -4.940509933,      -4.607225881
          0,           0,          16,      -5.329957557,       -5.34186979,      -5.344043666,      -5.071519876,      -4.699959233
          0,           0,          17,      -5.436148797,      -5.449435656,      -5.456992617,      -5.204886672,      -4.804171821
          0,           0,          18,      -5.550917246,      -5.560726372,      -5.576518224,      -5.338152769,      -4.917156886
          0,           0,          19,      -5.671328231,      -5.670846019,      -5.702010165,      -5.468934064,      -5.036340608
          0,           0,          20,      -5.795607162,      -5.777122194,        -5.8324971,      -5.595749138,       -5.16035675
          0,           0,          21,      -5.920627992,      -5.877894651,      -5.967424987,      -5.719067816,      -5.286679968
          0,           0,          22,      -6.039584832,       -5.97156614,      -6.105105382,      -5.840994878,      -5.409190268
          0,           0,          23,      -6.145227792,      -6.058387667,      -6.240988149,      -5.963355282,       -5.52039282
          0,           0,          24,       -6.23723066,      -6.141764697,      -6.368737602,      -6.085934965,      -5.618163347
          0,           0,          25,       -6.32316245,       -6.22654908,      -6.484726271,      -6.206210726,      -5.708232944
          0,           0,          26,      -6.411757612,      -6.316428563,      -6.590647963,      -6.320661213,      -5.798820991
          0,           0,          27,      -6.507972059,      -6.412734445,      -6.691287583,      -6.426783145,      -5.895271758
          0,           0,          28,      -6.612113161,      -6.514313279,      -6.789527746,      -6.524351515,      -5.998484075
          0,           0,          29,      -6.720602735,      -6.618037298,      -6.884297429,      -6.615176191,      -6.105460084
          0,           0,          30,      -6.827671954,      -6.720022148,      -6.972264923,      -6.701897326,      -6.210986833
          0,           0,          31,      -6.928360985,      -6.817416127,      -7.051298661,        -6.7867336,      -6.310507821
          0,           0,          32,      -7.021325873,      -6.909634794,      -7.122293952,      -6.870667891,      -6.402735942
          0,           0,          33,      -7.108819143,      -6.998020354,      -7.188120528,      -6.953302214,      -6.489697243
          0,           0,          34,      -7.194301848,      -7.084614396,      -7.251718671,      -7.033478232,      -6.574678467
          0,           0,          35,      -7.281078995,      -7.171738012,      -7.316516476,      -7.110665681,      -6.661527834
          0,           0,          36,      -7.367589061,      -7.258951998,      -7.380124994,      -7.184557326,      -6.747571341
          0,           0,          37,      -7.457328746,       -7.34856639,       -7.44842661,      -7.253976859,      -6.840058255
          0,           0,          38,      -7.538918457,      -7.436492462,      -7.514430052,      -7.323192036,      -6.922814907
          0,           0,          39,      -7.615221496,      -7.523281362,      -7.580325593,      -7.389259919,      -6.998192334
          0,           0,          40,      -7.692060042,      -7.607215289,      -7.648487853,       -7.44641001,      -7.081173792
          0,           0,          41,      -7.751216528,      -7.688082505,       -7.71356701,      -7.507337593,      -7.142383819
          0,           0,          42,      -7.806362992,      -7.764867345,      -7.778247198,      -7.567160991,      -7.193594071
          0,           0,          43,      -7.864672383,      -7.839731991,      -7.841090482,      -7.623499086,      -7.247114345
          0,           0,          44,      -7.928839319,      -7.914132997,      -7.900026945,      -7.674483726,      -7.307473541
          0,           0,          45,      -8.005010998,       -7.99447401,       -7.96591746,       -7.72426991,       -7.38600682
          0,           0,          46,       -8.07795918,      -8.072734522,      -8.024616204,      -7.776324935,       -7.45833362
          0,           0,          47,      -8.157826258,      -8.147627267,      -8.080665952,      -7.828083256,       -7.53477987
          0,           0,          48,      -8.240145737,      -8.216699879,      -8.130148446,      -7.876581838,      -7.614432852
          0,           0,          49,      -8.315007207,      -8.284953458,      -8.183440837,      -7.923729355,      -7.696251343
          0,           0,          50,      -8.377722481,      -8.346722174,      -8.226903034,      -7.971204647,      -7.763184266
          0,           0,          51,      -8.430869435,       -8.39686254,      -8.264183121,      -8.013683881,      -7.815988481
          0,           0,          52,      -8.470269478,      -8.437400389,      -8.293344772,      -8.048708754,      -7.854330972
          0,           0,          53,      -8.510603796,      -8.491231141,      -8.333694119,      -8.084766276,      -7.901861975
          0,           0,          54,      -8.555040118,      -8.544855055,        -8.3629987,      -8.121440163,      -7.946619303
          0,           0,          55,      -8.598653963,      -8.590376846,      -8.390316046,      -8.154534347,      -7.986162616
          0,           0,          56,      -8.638710548,      -8.629741863,       -8.41594092,      -8.183423383,      -8.022192423
          0,           0,          57,      -8.691167422,      -8.689613132,      -8.455361101,      -8.216097017,      -8.078718486
          0,           0,          58,      -8.750909656,      -8.751589061,        -8.4891322,      -8.252329172,      -8.138130965
          0,           0,          59,      -8.805433779,      -8.801291448,      -8.523879409,      -8.287938357,      -8.189104144
          0,           0,          60,      -8.851299282,      -8.839682159,      -8.558753879,      -8.321642128,      -8.231653074
          0,           0,          61,      -8.895386819,      -8.879051736,      -8.595528367,      -8.355015363,      -8.274058255
          0,           0,          62,      -8.940544695,      -8.922971677,      -8.633951347,      -8.389004248,      -8.318064246
          0,           0,          63,      -8.985891153,       -8.96992792,      -8.675025311,       -8.42486478,      -8.362338076
          0,           0,          64,      -9.026284208,      -9.010517065,      -8.715087882,       -8.46145191,      -8.401209843
          0,           0,          65,      -9.074859931,       -9.06704789,      -8.767728547,       -8.50401913,      -8.452774852
          0,           0,          66,      -9.120495323,      -9.118841406,      -8.816395098,      -8.552079912,      -8.498225032
          0,           0,          67,      -9.161611994,      -9.157654147,      -8.865507671,      -8.601289417,      -8.537512315
          0,           0,          68,      -9.200312855,      -9.189408628,      -8.912194271,      -8.648641426,      -8.574501591
          0,           0,          69,       -9.24754189,      -9.239287883,       -8.96630378,      -8.695628423,      -8.625731158
          0,           0,          70,      -9.298708003,      -9.293211653,      -9.015683155,      -8.746408012,      -8.677238256
          0,           0,          71,      -9.346369918,      -9.335735796,      -9.063673367,      -8.796407372,      -8.723114917
          0,           0,          72,      -9.388784854,      -9.369550366,      -9.108393334,      -8.843452165,      -8.763761174
          0,           0,          73,      -9.434725528,      -9.417955271,      -9.159361195,      -8.888421194,      -8.815189576
          0,           0,          74,      -9.486724452,       -9.47247054,       -9.20582028,       -8.93791503,      -8.868065618
          0,           0,          75,      -9.534065446,      -9.514930792,      -9.251688098,      -8.986825036,      -8.913348116
          0,           0,          76,      -9.574800635,      -9.548360987,      -9.295770041,      -9.032987978,       -8.95175407
          0,           0,          77,      -9.615279076,      -9.584686175,      -9.339775803,      -9.077108958,      -8.990871545
          0,           0,          78,      -9.659220838,      -9.627180001,      -9.383815655,      -9.120238286,      -9.033631762
          0,           0,          79,      -9.706406022,      -9.674826436,      -9.429415999,      -9.163867852,      -9.079614738
          0,           0,          80,      -9.754800795,      -9.724659967,      -9.477154089,       -9.20934968,       -9.12690884
          0,           0,          81,      -9.803370005,      -9.774866711,      -9.527139041,       -9.25731251,      -9.174566302
          0,           0,          82,      -9.852368075,      -9.825368556,      -9.579335625,       -9.30770628,      -9.222815254
          0,           0,          83,      -9.902473161,      -9.876874661,      -9.633578077,      -9.360139285,      -9.272262849
          0,           0,          84,      -9.953990065,       -9.92979385,       -9.68943625,      -9.414131924,      -9.323177377
          0,           0,          85,      -10.00707104,      -9.984242649,      -9.746467058,      -9.469334858,      -9.375684171
          0,           0,          86,      -10.06151082,      -10.03998028,      -9.804240671,      -9.525507208,       -9.42958761
          0,           0,          87,      -10.11703686,      -10.09655578,      -9.862350474,      -9.582427313,      -9.484627148
          0,           0,          88,      -10.17349305,      -10.15369018,      -9.920516782,      -9.639845967,      -9.540644987
          0,           0,          89,      -10.23077282,       -10.2112796,      -9.978582407,      -9.697503839,      -9.597526725
          0,           0,          90,      -10.28735186,      -10.26632446,      -10.03404772,      -9.754066765,      -9.653177766
          0,           0,          91,      -10.34661117,      -10.32958273,      -10.09515524,      -9.809701241,      -9.716502601
          0,           0,          92,      -10.40788935,      -10.39338806,      -10.15258551,      -9.869173897,      -9.778146912
          0,           0,          93,      -10.46593257,      -10.44889732,      -10.20945831,       -9.92842339,      -9.834819019
          0,           0,          94,      -10.52043988,      -10.49844831,      -10.26291395,      -9.984735147,       -9.88797803
          0,           0,          95,      -10.57652474,      -10.55605367,      -10.32051087,      -10.03747898,      -9.948882434
          0,           0,          96,      -10.63705768,      -10.61794307,      -10.37316519,      -10.09318871,      -10.01001028
          0,           0,          97,      -10.69392632,      -10.67139857,      -10.42416193,      -10.14740798,      -10.06529866
          0,           0,          98,      -10.74551448,      -10.71753021,      -10.47161723,      -10.19800877,      -10.11527372
          0,           0,          99,      -10.79722695,      -10.77010661,      -10.52411246,      -10.24490632,      -10.17252561
